ID;GebruikVanGeweld;SoortDiefstal;RegioS;Perioden;TotaalGeregistreerdeDiefstallen_1;GeregistreerdeDiefstallenPer1000Inw_3
174178;A048105;CRI1125;GM1895;2020JJ00;0;     0.0
174179;A048105;CRI1125;GM1895;2021JJ00;0;     0.0
174188;A048105;CRI1125;GM0269;2018JJ00;0;     0.0
174189;A048105;CRI1125;GM0269;2019JJ00;0;     0.0
174190;A048105;CRI1125;GM0269;2020JJ00;0;     0.0
174191;A048105;CRI1125;GM0269;2021JJ00;0;     0.0
174200;A048105;CRI1125;GM0173;2018JJ00;0;     0.0
174201;A048105;CRI1125;GM0173;2019JJ00;0;     0.0
174202;A048105;CRI1125;GM0173;2020JJ00;0;     0.0
174203;A048105;CRI1125;GM0173;2021JJ00;0;     0.0
174212;A048105;CRI1125;GM1773;2018JJ00;0;     0.0
174213;A048105;CRI1125;GM1773;2019JJ00;0;     0.0
174214;A048105;CRI1125;GM1773;2020JJ00;0;     0.0
174215;A048105;CRI1125;GM1773;2021JJ00;0;     0.0
174224;A048105;CRI1125;GM0175;2018JJ00;0;     0.0
174225;A048105;CRI1125;GM0175;2019JJ00;0;     0.0
174226;A048105;CRI1125;GM0175;2020JJ00;0;     0.0
174227;A048105;CRI1125;GM0175;2021JJ00;0;     0.0
174236;A048105;CRI1125;GM0881;2018JJ00;0;     0.0
174237;A048105;CRI1125;GM0881;2019JJ00;;
174238;A048105;CRI1125;GM0881;2020JJ00;;
174239;A048105;CRI1125;GM0881;2021JJ00;;
174248;A048105;CRI1125;GM1586;2018JJ00;0;     0.0
174249;A048105;CRI1125;GM1586;2019JJ00;0;     0.0
174250;A048105;CRI1125;GM1586;2020JJ00;0;     0.0
174251;A048105;CRI1125;GM1586;2021JJ00;0;     0.0
174260;A048105;CRI1125;GM0826;2018JJ00;0;     0.0
174261;A048105;CRI1125;GM0826;2019JJ00;0;     0.0
174262;A048105;CRI1125;GM0826;2020JJ00;0;     0.0
174263;A048105;CRI1125;GM0826;2021JJ00;0;     0.0
174272;A048105;CRI1125;GM0580;2018JJ00;;
174273;A048105;CRI1125;GM0580;2019JJ00;;
174274;A048105;CRI1125;GM0580;2020JJ00;;
174275;A048105;CRI1125;GM0580;2021JJ00;;
174284;A048105;CRI1125;GM0085;2018JJ00;0;     0.0
174285;A048105;CRI1125;GM0085;2019JJ00;0;     0.0
174286;A048105;CRI1125;GM0085;2020JJ00;0;     0.0
174287;A048105;CRI1125;GM0085;2021JJ00;0;     0.0
174296;A048105;CRI1125;GM0431;2018JJ00;0;     0.0
174297;A048105;CRI1125;GM0431;2019JJ00;0;     0.0
174298;A048105;CRI1125;GM0431;2020JJ00;0;     0.0
174299;A048105;CRI1125;GM0431;2021JJ00;0;     0.0
174308;A048105;CRI1125;GM0432;2018JJ00;0;     0.0
174309;A048105;CRI1125;GM0432;2019JJ00;0;     0.0
174310;A048105;CRI1125;GM0432;2020JJ00;0;     0.0
174311;A048105;CRI1125;GM0432;2021JJ00;0;     0.0
174320;A048105;CRI1125;GM0086;2018JJ00;0;     0.0
174321;A048105;CRI1125;GM0086;2019JJ00;0;     0.0
174322;A048105;CRI1125;GM0086;2020JJ00;0;     0.0
174323;A048105;CRI1125;GM0086;2021JJ00;0;     0.0
174332;A048105;CRI1125;GM0828;2018JJ00;0;     0.0
174333;A048105;CRI1125;GM0828;2019JJ00;0;     0.0
174334;A048105;CRI1125;GM0828;2020JJ00;0;     0.0
174335;A048105;CRI1125;GM0828;2021JJ00;0;     0.0
174344;A048105;CRI1125;GM0584;2018JJ00;0;     0.0
174345;A048105;CRI1125;GM0584;2019JJ00;;
174346;A048105;CRI1125;GM0584;2020JJ00;;
174347;A048105;CRI1125;GM0584;2021JJ00;;
174356;A048105;CRI1125;GM1509;2018JJ00;0;     0.0
174357;A048105;CRI1125;GM1509;2019JJ00;0;     0.0
174358;A048105;CRI1125;GM1509;2020JJ00;0;     0.0
174359;A048105;CRI1125;GM1509;2021JJ00;0;     0.0
174368;A048105;CRI1125;GM0437;2018JJ00;0;     0.0
174369;A048105;CRI1125;GM0437;2019JJ00;0;     0.0
174370;A048105;CRI1125;GM0437;2020JJ00;0;     0.0
174371;A048105;CRI1125;GM0437;2021JJ00;0;     0.0
174380;A048105;CRI1125;GM0644;2018JJ00;;
174381;A048105;CRI1125;GM0644;2019JJ00;;
174382;A048105;CRI1125;GM0644;2020JJ00;;
174383;A048105;CRI1125;GM0644;2021JJ00;;
174392;A048105;CRI1125;GM0589;2018JJ00;0;     0.0
174393;A048105;CRI1125;GM0589;2019JJ00;0;     0.0
174394;A048105;CRI1125;GM0589;2020JJ00;0;     0.0
174395;A048105;CRI1125;GM0589;2021JJ00;0;     0.0
174404;A048105;CRI1125;GM1734;2018JJ00;0;     0.0
